AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
TBMNC-BLD803-TRL1-AP002,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176708 seconds ago
TBMNC-BLD803-TRL4-AP021,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,455529 seconds ago
TBMNC-BLD803-TRL2-AP011,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176753 seconds ago
APC414-A243-E8F0,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1102477 seconds ago
TBMNC-BLD803-TRL1-AP005,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1176808 seconds ago
TBMNC-BLD803-TRL2-AP010,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176788 seconds ago
TBMNC-BLD803-TRL2-AP012,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176747 seconds ago
TBMNC-BLD803-TRL1-AP001,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176679 seconds ago
TBMNC-BLD803-TRL1-AP006,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176744 seconds ago
APC414-A243-F090,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1102474 seconds ago
TBMNC-BLD803-TRL4-AP024,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176742 seconds ago
TBMNC-BLD803-TRL4-AP019,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,549798 seconds ago
TBMNC-BLD803-TRL4-AP022,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,793692 seconds ago
TBMNC-BLD803-TRL2-AP008,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176702 seconds ago
TBMNC-BLD803-TRL1-AP004,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1176654 seconds ago
APc4d6.6677.8790,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,4,0,0,0,1177493 seconds ago
TBMNC-BLD801-FL01-AP0292,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1177511 seconds ago
TBMNC-BLD801-FL01-AP0059,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1177534 seconds ago
TBMNC-BLD801-FL02-AP0357,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1177523 seconds ago
TBMNC-BLD801-FL02-AP0356,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,1177510 seconds ago
TBMNC-BLD801-FL01-AP0296,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1177485 seconds ago
TBMNC-BLD801-FL01-AP0647,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1177485 seconds ago
TBMNC-BLD801-FL01-AP0293,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1177494 seconds ago
TBMNC-BLD801-FL02-AP0355,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,3,0,0,0,1177519 seconds ago
TBMNC-BLD801-FL01-AP0051,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1177492 seconds ago
